Index|Word|Definition|Grouping
1371|Dead-Heat|Run Of Finish A Race Exactly Even|Verb

1372|Deadlock|A Situation In Which No Progress Can Be Made|Noun

1373|Dearth|A Scarcity Or Lack Of Something|Noun

1374|Debacle|A Sudden And Ignominious Failure, A Fiasco|Noun

1375|Debase|To Reduce In Quality Or Value|Verb

1376|Debatable|Open To Discussion Or Argument|Adjective

1377|Debauch|To Morally Corrupt Someone, To Seduce|Verb

1378|Debilitate|To Make Someone Weak And Infirm|Verb

1379|Debility|A State Of Physical Or Mental Weakness|Noun

1380|Debonair|Gracious, Courteous|Adjective

1381|Debris|Rubble, Wreckage, Scattered Remains Of Something Destroyed|Noun

1382|Debunk|To Discredit, Or Expose The Exaggerated Claims Of Something|Verb

1383|Debut|To Formally Introduce, As To The Public|Verb

1384|Decadence|A State Of Moral Or Artistic Decline Or Deterioration|Noun

1385|Decagon|A Polygon With Ten Sides And Ten Angles|Noun

1386|Decagram|An Si Unit Of Mass Equal To 101 Grams|Noun

1387|Decalitre|Ten Litres|Noun

1388|Decalogue|Ten Commandments|Noun

1389|Decameron|A Collection Of 100 Tales (1353) By Boccaccio|

1390|Decameter|Ten Meters|Noun

1391|Decamp|To Break Up Camp And Move On|Verb

1392|Decapitate|To Remove The Head Of|Verb

1393|Decapod|Having Ten Legs|Adjective

1394|Decasyllable|A Verse Having Ten Syllables|Noun

1395|Decathlon|An Athletic Event Consisting Of 10 Prescribed Events|Noun

1396|Deceit|An Act Or Practice Intended To Deceive, A Trick|Noun

1397|Deceitful|Deliberately Misleading Or Cheating|Adjective

1398|Deceive|To Trick Or Mislead|Verb

1399|Decelerate|To Reduce Speed, To Slow Down|Verb

1400|Decency|Conformity To Accepted Standards Of Respectability|Noun

1401|Deciduous|Falling Off Or Shed At A Particular Season, Point Of Growth|Adjective

1402|Decimal|Pertaining To Or Proceeding By Tenths Or The Power Of Ten|Adjective

1403|Decimate|To Kill, Destroy, Or Remove Large Percentages Of|Verb

1404|Decipher|To Succeed In Understanding Or Interpreting|Verb

1405|Decisive|Settling An Issue, Producing A Definite Result|Adjective

1406|Declamation|Rhetorical Delivery, Loud Speaking In Public|Noun

1407|Declamatory|Bombastic, Ostentatiously Lofty In Style|Adjective

1408|Declarative|A Statement In The Form Of A Formal Announcement|Adjective

1409|Declension|The Inflection Of A Part Of Speech, Such As Case And Number|Noun

1410|Decorate|To Furnish With Ornaments|Verb

1411|Decorous|In Keeping With Good Taste And Propriety|Adjective

1412|Decorum|Appropriate Social Behavior, Propriety|Noun

1413|Decoy|A Person Who Entices Or Lures Another Person Or Thing|Noun

1414|Decrepit|Weakened Or Worn Out From Age Or Wear|Adjective

1415|Decry|To Publicly Denounce, To Condemn|Verb

1416|Dedication|The Quality Of Being Committed To A Task Or Purpose|Noun

1417|Deduce|To Reach A Conclusion From Something Known Or Assumed|Verb

1418|Deface|To Damage Something In A Visible Or Conspicuous Manner|Verb

1419|Defalcate|To Misappropriate Funds, To Embezzle|Verb

1420|Defamation|Act Of Injuring Another'S Reputation By Slander Or Libel|Noun

1421|Defamatory|Damaging To Someone'S Reputation, Especially If Untrue|Adjective

1422|Defame|To Try To Diminish The Reputation Of|Verb

1423|Defendant|A Person Or Group Against Whom A Charge Is Brought In Court|Noun

1424|Defensible|Capable Of Being Defended Against Armed Attack|Adjective

1425|Defensive|Used Or Intended To Defend Or Protect|Adjective

1426|Defer|To Delay, Or Put Off To A Future Time|Verb

1427|Deference|Humble Submission And Respect|Noun

1428|Deferential|Respectful, Reverential|Adjective

1429|Defiance|Open Resistance, Bold Disobedience|Noun

1430|Defiant|Showing Open Resistance, Provocative|Adjective

1431|Deficiency|Inadequacy Or Incompleteness|Noun

1432|Deficient|Lacking Something Essential, Often Construed With In|Adjective

1433|Defile|To Make Impure, To Make Dirty|Verb

1434|Definite|Having Distinct Limits|Adjective

1435|Definitive|Explicitly Defined|Adjective

1436|Deflect|To Make (Something) Deviate From Its Original Path|Verb

1437|Defoliate|To Remove Foliage From One Or More Plants|Verb

1438|Deforest|To Destroy Or To Fell All The Trees Of A Forest|Verb

1439|Deform|To Remove The Form Of|Verb

1440|Deformity|A Misshapen Part, Esp.  Of The Body|Noun

1441|Defraud|To Obtain Money Or Property By Fraud, To Swindle|Verb

1442|Defray|To Spend (Money)|Verb

1443|Deft|Quick And Neat In Action, Skillful|Adjective

1444|Defunct|No Longer Existing Or Functioning|Adjective

1445|Defuse|To Reduce The Danger Or Tension In (A Difficult Situation)|Verb

1446|Degeneracy|The State Of Being Physically Or Morally Deteriorated|Noun

1447|Degenerate|Having Fallen Below A Desirable Level, Especially Morally|Adjective

1448|Degradation|A Lowering From One'S Standing In Office Or Society|Noun

1449|Degrade|To Lower In Value Or Social Position|Verb

1450|Dehydrate|To Lose Or Remove Water, To Dry|Verb

1451|Deify|To Make A God Of (Something Or Someone)|Verb

1452|Deign|To Condescend, To Accept As Appropriate To One'S Dignity|Verb

1453|Deist|Someone Who Believes In The Existence Of A Supreme Being|Adjective

1454|Deity|A God Or Goddess, Divine Status|Noun

1455|Deject|Make Sad Or Dispirited|Verb

1456|Dejection|A State Of Melancholy Or Depression, Low Spirits, The Blues|Noun

1457|Delectable|Pleasing To The Taste, Delicious|Adjective

1458|Delectation|Great Pleasure, Delight|Noun

1459|Delegate|To Entrust (A Task Or Responsibility)|Verb

1460|Deleterious|Causing Harm Or Damage|Adjective

1461|Deliberate|To Consider Carefully|Verb

1462|Delicacy|The Quality Of Being Delicate|Noun

1463|Delineate|To Describe Or Portray (Something) Precisely|Verb

1464|Delineation|A Precise Description|Noun

1465|Deliquesce|To Melt And Disappear|Verb

1466|Delirious|In A State Of Wild Excitement Or Ecstasy|Adjective

1467|Delirium|An Acutely Disturbed State Of Mind That Occurs In Fever|Noun

1468|Delude|To Deceive Someone Into Believing Something Which Is False|Verb

1469|Deluge|To Flood With Water|Verb

1470|Delusion|A False Belief That Is Resistant To Confrontation With Fact|Noun

1471|Demagnetize|To Remove The Magnetic Propreties Of Something|Verb

1472|Demagogue|A Leader Who Espouses The Cause Of The Common People|Noun

1473|Demarcation|The Act Of Marking Off A Boundary Or Setting A Limit|Noun

1474|Demean|To Debase, To Do Something That Is Beneath One'S Dignity|Verb

1475|Demeanor|A Person'S Conduct Or Behaviour|Noun

1476|Demented|Insane Or Mentally Ill|Adjective

1477|Demerit|A Quality Of Being Inadequate, A Fault, A Disadvantage|Noun

1478|Demise|A Person'S Death|Noun

1479|Demobilize|To Release Someone From Military Duty|Verb

1480|Demolish|To Destroy, To Full Or Knock Down (A Building)|Verb

1481|Demonstrable|Clearly Apparent Or Capable Of Being Logically Proved|Adjective

1482|Demonstrate|Clearly Show The Truth Of (Something) Through Proof|Verb

1483|Demonstrative|That Serves To Demonstrate, Show Or Prove|Adjective

1484|Demonstrator|A Person Who Takes Part In A Public Protest Meeting Or March|Noun

1485|Demote|To Lower The Rank Or Status Of Something|Verb

1486|Demulcent|Soothing Or Softening|Adjective

1487|Demur|To Raise Doubts Or Objections Or Show Reluctance|Verb

1488|Demure|Reserved, Modest, And Shy|Adjective

1489|Demurrage|The Delaying In Port Of A Ship Beyond The Time Allowed|Noun

1490|Dendroid|(Of An Organism Or Structure) Tree-Shaped, Branching|Adjective

1491|Dendrology|The Study Of Trees And Other Woody Plants|Noun

1492|Denigrate|To Criticize Unfairly, To Disparage|Verb

1493|Denizen|To Grant Rights Of Citizenship To, To Naturalize|Verb

1494|Denominate|To Call, To Name|Verb

1495|Denomination|The Act Of Naming Or Designating|Noun

1496|Denominator|The Expression Written Below The Line In A Fraction|Noun

1497|Denote|To Indicate, To Mark|Verb

1498|Denouement|The Final Part Of A Play, Movie, Or Narrative|Noun

1499|Denounce|To Publicly Declare To Be Wrong Or Evil|Verb

1500|Dentifrice|Toothpaste Or Any Other Substance For Cleaning The Teeth|Noun

1501|Denude|To Divest Of All Covering, To Make Bare Or Naked, To Strip|Verb

1502|Denunciation|Proclamation, Announcement, A Publishing|Noun

1503|Deplete|To Decrease Seriously Or Exhaust The Supply Of (Something)|Verb

1504|Deplorable|Deserving Strong Condemnation, Shockingly Bad|Adjective

1505|Deplore|To Bewail, To Weep Bitterly Over, To Feel Sorrow For|Verb

1506|Deploy|To Arrange (Usually A Military Unit Or Units) For Use|Verb

1507|Deponent|(Greek Grammar) Having Passive Form But An Active Meaning|Adjective

1508|Depopulate|To Reduce The Population Of A Region|Verb

1509|Deport|To Expel Someone From A Country|Verb

1510|Deportment|A Person'S Behavior Or Manners|Noun

1511|Deposition|The Process Of Giving Sworn Evidence|Noun

1512|Depositor|A Person Who Makes A Deposit, Especially Of Money In A Bank|Noun

1513|Depository|A Place Where Something Is Deposited For Safekeeping|Noun

1514|Deprave|To Make Morally Bad Or Evil|Verb

1515|Depravity|Moral Corruption|Noun

1516|Deprecate|To Belittle Or Express Disapproval Of|Verb

1517|Depreciate|To Reduce In Value Over Time|Verb

1518|Depreciation|Reduction In Value Over Time|Noun

1519|Depredation|The Act Of Preying Upon Or Plundering|Noun

1520|Depress|To Press Down On|Verb

1521|Depth|The Vertical Distance Below A Surface|Noun

1522|Deracinate|To Pull Up By The Roots, To Uproot, To Extirpate|Verb

1523|Derelict|Abandoned, Forsaken, Dilapidated, Neglected|Adjective

1524|Dereliction|Willful Neglect Of One'S Duty|Noun

1525|Deride|To Harshly Mock, Ridicule|Verb

1526|Derisible|Subject To Or Deserving Of Contemptuous Ridicule|Adjective

1527|Derision|Mockery, Taunt|Noun

1528|Derivation|The Source From Which Something Is Derived, Origin|Noun

1529|Derivative|Imitative Of The Work Of Someone Else|Adjective

1530|Derive|To Deduce (A Conclusion) By Reasoning|Verb

1531|Dermatology|The Medical Study Of Skin|Noun

1532|Derogatory|Showing A Degrading Or Disrespectful Attitude|Adjective

1533|Derrick|A Crane With A Movable Pivoted Arm For Moving Heavy Objects|Noun

1534|Derring-Do|Valiant Deeds In Desperate Times|Noun

1535|Descendant|Descending From A Biological Ancestor|Adjective

1536|Descent|An Action Of Moving Downward, Dropping, Falling|Noun

1537|Descry|To See By Looking Carefully|Verb

1538|Desecrate|To Profane Or Violate The Sacredness/Sanctity Of Something|Verb

1539|Desecration|An Act Of Disrespect Towards Something Considered Sacred|Noun

1540|Desert|To Leave, To Abandon, To Forsake|Verb

1541|Desiccant|Causing Dryness|Adjective

1542|Desiccate|Lacking Interest, Passion, Or Energy|Verb

1543|Designate|To Mark Out And Make Known, Indicate|Verb

1544|Desist|To Cease To Proceed Or Act, To Stop|Verb

1545|Desistance|The Act Or State Of Desisting, Cessation|Noun

1546|Desolate|Barren Or Laid Waste|Adjective

1547|Despair|To Give Up As Beyond Hope Or Expectation, To Despair Of|Verb

1548|Desperado|A Bold Outlaw, Especially One From The Southern Wild West|Noun

1549|Desperate|Being Filled With, Or In A State Of Despair, Hopeless|Adjective

1550|Despicable|Fit Or Deserving To Be Despised, Contemptible|Adjective

1551|Despite|In Spite Of|Preposition

1552|Despond|To Give Up The Will, Courage, Or Spirit|Verb

1553|Despondent|In Low Spirits From Loss Of Hope Or Courage|Adjective

1554|Despot|A Ruler With Absolute Power Who Exercise It Cruelly|Noun

1555|Despotic|Characteristic Of An Absolute Ruler Or Absolute Rule|Adjective

1556|Despotism|An Absolute Or Autocratic Government|Noun

1557|Destitute|Without The Basic Necessities Of Life|Adjective

1558|Destitution|The Action Of Deserting Or Abandoning|Noun

1559|Desuetude|Disuse, Obsolescence|Noun

1560|Desultory|Lacking A Plan, Purpose, Or Enthusiasm|Adjective

1561|Deter|To Prevent Something From Happening|Verb

1562|Deteriorate|To Make Worse, To Make Inferior In Quality Or Value|Verb

1563|Determinate|Having Exact And Discernible Limits Or Form|Adjective

1564|Determination|Firmness Of Purpose, Resoluteness|Noun

1565|Deterrent|A Thing That Is Intended To Discourage Someone From Some Act|Noun

1566|Detest|To Dislike Intensely|Verb

1567|Detonate|To Explode Or Cause To Explode|Verb

1568|Detract|To Take Away, To Withdraw Or Remove|Verb

1569|Detraction|The Act Of Taking Away|Noun

1570|Detriment|The State If Being Harmed Or Damaged|Noun

1571|Detrimental|Tending To Cause Harm|Adjective

1572|Detritus|Waste Or Debris Of Any Kind|Noun

1573|Detrude|To Push Downwards With Force|Verb

1574|Detumescence|The Process Of Subsiding From A State Of Tension|Noun

1575|Devastate|To Destroy Or Ruin (Something)|Verb

1576|Develop|To Grow Or Cause To Grow And Become More Mature|Verb

1577|Deviance|The State Of Departing From Usual Or Accepted Standards|Noun

1578|Deviate|To Go Off Course From, To Change Course, To Change Plans|Verb

1579|Devilry|Wicked Activity|Noun

1580|Deviltry|Extreme Cruelty|Noun

1581|Devious|Showing Skillful Use Of Underhanded Tactics To Achieve Goals|Adjective

1582|Devise|To Use One'S Intellect To Plan Or Design (Something)|Verb

1583|Devitalize|To Deprive Of Vitality, Make Lifeless, Weaken|Verb

1584|Devoid|Empty, Having None Of, Completely Without|Adjective

1585|Devour|To Eat (Food Or Prey) Hungrily Or Quickly|Verb

1586|Devout|Devoted To Religion Or To Religious Feelings And Duties|Adjective

1587|Dexterity|Skill In Performing Tasks, Especially With The Hands|Noun

1588|Dexterous|Skillful With One'S Hands|Adjective

1589|Diabolic|Showing Wickedness Typical Of A Devil|Adjective

1590|Diacritical|Capable Of Distinguishing Or Of Making A Distinction|Adjective

1591|Diagnose|To Determine The Root Cause Of (A Disease)|Verb

1592|Diagnosis|The Identification Of The Nature And Cause Of An Illness|Noun

1593|Dialect|A Socially Or Geographically Distinct Variant Of A Language|Noun

1594|Dialectical|The Art Of Investigating Or Discussing The Truth Of Opinions|Noun

1595|Dialectician|A Person Skilled In Philosophical Debate|Noun

1596|Dialogue|A Conversation Between Two Or More Persons|Noun

1597|Diaphanous|Light, Delicate, And Translucent|Adjective

1598|Diatomic|Consisting Of Two Atoms|Adjective

1599|Diatribe|A Forceful And Bitter Verbal Attack|Noun

1600|Dichotomy|A Cutting In Two, A Division|Noun

1601|Dictate|To Order, Command, Control|Verb

1602|Diction|The Style Of Enunciation In Speaking Or Singing|Noun

1603|Dictum|An Authoritative Statement, A Dogmatic Saying|Noun

1604|Didactic|Intended To Teach, Particularly Having A Moral Lesson|Adjective

1605|Diddle|To Cheat, Swindle, Hoax|Verb

1606|Difference|The State Or Relation Of Being Different, Dissimilarity|Noun

1607|Differentia|Trait That Discerns A Species From Another Of Same Genus|Noun

1608|Differential|Of, Or Relating To A Difference|Adjective

1609|Differentiate|To Show, Or Be The Distinction Between Two Things|Verb

1610|Diffidence|Lack Of Self-Confidence|Noun

1611|Diffident|Lacking Confidence In Oneself|Adjective

1612|Diffuse|To Pour Out And Spread, As Liquid|Verb

1613|Diffusible|Able To Intermingle By Diffusion|Adjective

1614|Diffusion|The Spreading Of Something More Widely|Noun

1615|Dignitary|An Important Or Influential Person, Or One Of High Rank|Noun

1616|Digraph|A Directed Graph|Noun

1617|Digress|To Deviate From The Main Subject In Writing Or Speaking|Verb

1618|Digression|A Departure From The Subject, Course, Or Idea At Hand|Noun

1619|Dilapidated|Fallen Into Partial Ruin Or Decay, As From Age Or Neglect|Verb

1620|Dilate|To Enlarge, To Make Bigger|Verb

1621|Dilatory|Slow To Act, Sluggish|Adjective

1622|Dilemma|A Situation Requiring A Choice Between Undesirable Options|Noun

1623|Dilettante|A Person With An Amateur Interest In The Arts, A Dabbler|Noun

1624|Diligence|Determination Or Perseverance When Doing Something|Noun

1625|Diligent|Performing With Intense Concentration, Focus|Adjective

1626|Dilute|To Make Thinner By Adding A Liquid Or Solvent|Verb

1627|Diminution|A Lessening, Decrease Or Reduction|Noun

1628|Diminutive|Small, Little, Tiny|Adjective

1629|Dimly|Dull And Subdued, Indistinct|Adjective

1630|Din|A Loud, Unpleasant, And Prolonged Noise|Noun

1631|Diorama|A Model Representing A Scene With 3D Figures|Noun

1632|Diphthong|A One-Syllable Sound Made Up Of Two Vowels|Noun

1633|Diplomacy|The Art And Practice Of Conducting International Relations|Noun

1634|Diplomat|A Person Appointed To Conduct International Relations|Noun

1635|Diplomatic|Of The Relationships Between The Governments Of Countries|Adjective

1636|Diplomatist|A Person Tactful In Negotiation|Noun

1637|Dirge|A Funeral Song Or Tune, Expressing Mourning For The Dead|Noun

1638|Disabuse|To Persuade Someone That An Idea Or Belief Is Mistaken|Verb
